ID,Restaurant ID,Cuisines,Restaurant Name,Country,City,Address,Average Cost for two,Currency,Has Table booking,Has Online delivery,Aggregate rating,Votes,Links
0,6317637,French,Le Petit Souffle,Phillipines,Makati City,"Third Floor, Century City Mall, Kalayaan Avenue, Poblacion, Makati City",1100,Botswana Pula(P),Yes,No,4.8,314,https://www.zoma.to/r/6317637
1,6317637,Japanese,Le Petit Souffle,Phillipines,Makati City,"Third Floor, Century City Mall, Kalayaan Avenue, Poblacion, Makati City",1100,Botswana Pula(P),Yes,No,4.8,314,https://www.zoma.to/r/6317637
2,6304287,Japanese,Izakaya Kikufuji,Phillipines,Makati City,"Little Tokyo, 2277 Chino Roces Avenue, Legaspi Village, Makati City",1200,Botswana Pula(P),Yes,No,4.5,591,https://www.zoma.to/r/6304287
3,6300002,Filipino,Heat - Edsa Shangri-La,Phillipines,Mandaluyong City,"Edsa Shangri-La, 1 Garden Way, Ortigas, Mandaluyong City",4000,Botswana Pula(P),Yes,No,4.4,270,https://www.zoma.to/r/6300002
4,6300002,Indian,Heat - Edsa Shangri-La,Phillipines,Mandaluyong City,"Edsa Shangri-La, 1 Garden Way, Ortigas, Mandaluyong City",4000,Botswana Pula(P),Yes,No,4.4,270,https://www.zoma.to/r/6300002
5,6318506,Japanese,Ooma,Phillipines,Mandaluyong City,"Third Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City",1500,Botswana Pula(P),No,No,4.9,365,https://www.zoma.to/r/6318506
6,6314302,Japanese,Sambo Kojin,Phillipines,Mandaluyong City,"Third Floor, Mega Atrium, SM Megamall, Ortigas, Mandaluyong City",1500,Botswana Pula(P),Yes,No,4.8,229,https://www.zoma.to/r/6314302
7,6314302,Korean,Sambo Kojin,Phillipines,Mandaluyong City,"Third Floor, Mega Atrium, SM Megamall, Ortigas, Mandaluyong City",1500,Botswana Pula(P),Yes,No,4.8,229,https://www.zoma.to/r/6314302
8,18189371,Chinese,Din Tai Fung,Phillipines,Mandaluyong City,"Ground Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City",1000,Botswana Pula(P),No,No,4.4,336,https://www.zoma.to/r/18189371
9,6301290,Filipino,Vikings,Phillipines,Pasay City,"Building B, By The Bay, Seaside Boulevard, Mall of Asia Complex (MOA), Pasay City",2000,Botswana Pula(P),Yes,No,4.2,677,https://www.zoma.to/r/6301290
10,6300010,Indian,Spiral - Sofitel Philippine Plaza Manila,Phillipines,Pasay City,"Plaza Level, Sofitel Philippine Plaza Manila, CCP Complex, Pasay City",6000,Botswana Pula(P),Yes,No,4.9,621,https://www.zoma.to/r/6300010
11,6314987,Filipino,Locavore,Phillipines,Pasig City,"Brixton Technology Center, 10 Brixton Street, Kapitolyo, Pasig City",1100,Botswana Pula(P),Yes,No,4.8,532,https://www.zoma.to/r/6314987
12,6309903,Filipino,Silantro Fil-Mex,Phillipines,Pasig City,"75 East Capitol Drive, Kapitolyo, Pasig City",800,Botswana Pula(P),No,No,4.9,1070,https://www.zoma.to/r/6309903
13,6309903,Mexican,Silantro Fil-Mex,Phillipines,Pasig City,"75 East Capitol Drive, Kapitolyo, Pasig City",800,Botswana Pula(P),No,No,4.9,1070,https://www.zoma.to/r/6309903
14,6309455,American,Mad Mark's Creamery & Good Eats,Phillipines,Pasig City,"23 East Capitol Drive, Kapitolyo, Pasig City",900,Botswana Pula(P),Yes,No,4.2,488,https://www.zoma.to/r/6309455
15,6318433,Filipino,Silantro Fil-Mex,Phillipines,Quezon City,"Second Floor, UP Town Center, Katipunan Avenue, Diliman, Quezon City",800,Botswana Pula(P),No,No,4.8,294,https://www.zoma.to/r/6318433
16,6318433,Mexican,Silantro Fil-Mex,Phillipines,Quezon City,"Second Floor, UP Town Center, Katipunan Avenue, Diliman, Quezon City",800,Botswana Pula(P),No,No,4.8,294,https://www.zoma.to/r/6318433
17,6310470,Filipino,Guevarra's,Phillipines,San Juan City,"387 P. Guevarra Corner Argonne Street, Addition Hills, San Juan City",1000,Botswana Pula(P),Yes,No,4.2,458,https://www.zoma.to/r/6310470
18,6314605,Korean,Sodam Korean Restaurant,Phillipines,San Juan City,"17 J. Abad Santos Drive, Little Baguio, San Juan City",700,Botswana Pula(P),No,No,4.3,223,https://www.zoma.to/r/6314605
19,18185059,American,Cafe Arabelle,Phillipines,Santa Rosa,"Ayala Mall, Solenad, Nuvali, Santa Rosa - Tagaytay Road, Don Jose, Santa Rosa",800,Botswana Pula(P),No,No,3.6,29,https://www.zoma.to/r/18185059
20,18185059,Italian,Cafe Arabelle,Phillipines,Santa Rosa,"Ayala Mall, Solenad, Nuvali, Santa Rosa - Tagaytay Road, Don Jose, Santa Rosa",800,Botswana Pula(P),No,No,3.6,29,https://www.zoma.to/r/18185059
21,18185059,Filipino,Cafe Arabelle,Phillipines,Santa Rosa,"Ayala Mall, Solenad, Nuvali, Santa Rosa - Tagaytay Road, Don Jose, Santa Rosa",800,Botswana Pula(P),No,No,3.6,29,https://www.zoma.to/r/18185059
22,18182702,Italian,Nonna's Pasta & Pizzeria,Phillipines,Santa Rosa,"Ground Floor, Building G, Solenad 3, Nuvali, Don Jose, Santa Rosa",850,Botswana Pula(P),No,No,4,72,https://www.zoma.to/r/18182702
23,6318213,Filipino,Balay Dako,Phillipines,Tagaytay City,"Aguinaldo Highway, Tagaytay City",1200,Botswana Pula(P),Yes,No,4.5,211,https://www.zoma.to/r/6318213
24,18255654,Korean,Hobing Korean Dessert Cafe,Phillipines,Taguig City,"Third Floor, BGC Stopover Pavillion, Rizal Drive Corner 31st Street, Bonifacio Global City, Taguig City",600,Botswana Pula(P),No,No,4.5,118,https://www.zoma.to/r/18255654
25,6308205,French,Wildflour Cafe + Bakery,Phillipines,Taguig City,"Ground Floor, Netlima Building, 4th Avenue Corner 26th Street, Bonifacio Global City, Taguig City",1500,Botswana Pula(P),Yes,No,4.4,392,https://www.zoma.to/r/6308205
26,6308205,American,Wildflour Cafe + Bakery,Phillipines,Taguig City,"Ground Floor, Netlima Building, 4th Avenue Corner 26th Street, Bonifacio Global City, Taguig City",1500,Botswana Pula(P),Yes,No,4.4,392,https://www.zoma.to/r/6308205
27,6308205,Italian,Wildflour Cafe + Bakery,Phillipines,Taguig City,"Ground Floor, Netlima Building, 4th Avenue Corner 26th Street, Bonifacio Global City, Taguig City",1500,Botswana Pula(P),Yes,No,4.4,392,https://www.zoma.to/r/6308205
28,6315438,American,NIU by Vikings,Phillipines,Taguig City,"Sixth Floor, SM Aura Premier, C5 Road Corner 26th Street, Bonifacio Global City, Taguig City",3000,Botswana Pula(P),Yes,No,4.7,535,https://www.zoma.to/r/6315438
29,6315438,Moroccan,NIU by Vikings,Phillipines,Taguig City,"Sixth Floor, SM Aura Premier, C5 Road Corner 26th Street, Bonifacio Global City, Taguig City",3000,Botswana Pula(P),Yes,No,4.7,535,https://www.zoma.to/r/6315438
30,6315438,Japanese,NIU by Vikings,Phillipines,Taguig City,"Sixth Floor, SM Aura Premier, C5 Road Corner 26th Street, Bonifacio Global City, Taguig City",3000,Botswana Pula(P),Yes,No,4.7,535,https://www.zoma.to/r/6315438
31,6310406,American,The Food Hall by Todd English,Phillipines,Taguig City,"Fifth Floor, SM Aura Premier, C5 Corner 26th Street, Bonifacio Global City, Taguig City",1800,Botswana Pula(P),Yes,No,4.5,618,https://www.zoma.to/r/6310406
32,6310406,Italian,The Food Hall by Todd English,Phillipines,Taguig City,"Fifth Floor, SM Aura Premier, C5 Corner 26th Street, Bonifacio Global City, Taguig City",1800,Botswana Pula(P),Yes,No,4.5,618,https://www.zoma.to/r/6310406
33,6600681,French,Chez Michou,Brazil,Brasí_lia,"SCLN, 208, Bloco A, Loja 30, Asa Norte, Brasí_lia",55,Brazilian Real(R$),No,No,3,6,https://www.zoma.to/r/6600681
34,6600292,French,Casa do Biscoito Mineiro,Brazil,Brasí_lia,"SCLN 210, Bloco D, Loja 36/48, Asa Norte, Brasí_lia",45,Brazilian Real(R$),No,No,3.7,11,https://www.zoma.to/r/6600292
35,6600441,Brazilian,Maori,Brazil,Brasí_lia,"CLN 110, Bloco D, Loja 28, Asa Norte, Brasí_lia",60,Brazilian Real(R$),No,No,3.8,11,https://www.zoma.to/r/6600441
36,6600970,Italian,Pizza íæ Bessa,Brazil,Brasí_lia,"SCS 214, Bloco C, Loja 40, Asa Sul, Brasí_lia",50,Brazilian Real(R$),No,No,3.2,11,https://www.zoma.to/r/6600970
